Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,NO,NO2,NOx,O3,PM25
-3.3,-5.5,85.0,6.0,17.0,16.1,102.09,-9.0,3,25,28,13,7
-1.4,-4.8,78.0,9.0,21.0,16.1,102.07,-7.0,1,16,17,22,7
-1.1,-4.1,80.0,12.0,26.0,16.1,102.04,-7.0,1,10,11,28,6
-1.3,-5.4,74.0,12.0,18.0,16.1,101.99,-7.0,1,12,12,26,7
-0.8,-5.5,71.0,10.0,21.0,16.1,101.86,-6.0,1,10,10,27,7
-0.6,-4.3,76.0,9.0,28.0,16.1,101.8,-7.0,1,10,11,26,8
-0.5,-3.7,79.0,10.0,22.0,16.1,101.76,-6.0,1,10,11,26,7
-0.3,-3.5,79.0,9.0,28.0,16.1,101.74,-7.0,2,11,12,25,7
0.3,-3.4,76.0,8.0,28.0,16.1,101.69,,2,11,12,25,8
0.8,-3.5,73.0,9.0,32.0,16.1,101.61,,2,10,12,24,9
0.8,-3.9,71.0,9.0,28.0,16.1,101.41,,2,13,15,21,10
0.2,-2.3,83.0,11.0,24.0,3.2,101.26,,2,13,15,20,11
-0.2,-0.9,95.0,10.0,26.0,1.2,101.03,-6.0,2,14,16,18,11
0.0,-0.7,95.0,9.0,28.0,4.0,100.85,-6.0,2,12,14,19,10
0.9,0.0,94.0,11.0,26.0,8.1,100.74,,2,14,16,17,9
1.1,0.2,94.0,10.0,24.0,8.1,100.59,,2,14,16,17,9
1.4,0.7,95.0,9.0,21.0,8.1,100.46,,2,15,17,15,10
1.7,1.0,95.0,9.0,22.0,6.4,100.35,,3,16,19,14,10
2.0,1.3,95.0,9.0,21.0,8.1,100.28,,3,16,19,13,11
2.1,1.7,97.0,8.0,17.0,4.8,100.18,,3,17,20,13,11
2.1,1.8,98.0,6.0,18.0,2.0,100.1,,3,17,20,12,8
2.2,1.9,98.0,6.0,21.0,2.0,99.97,,3,17,20,11,7
2.5,2.2,98.0,6.0,22.0,3.2,99.88,,3,21,24,8,7
2.8,2.5,98.0,6.0,13.0,2.0,99.8,,3,21,24,8,6
3.0,2.7,98.0,5.0,9.0,2.0,99.77,,3,22,25,6,7
2.7,2.6,99.0,6.0,13.0,1.6,99.69,,4,24,28,4,7
2.9,2.8,99.0,5.0,13.0,1.6,99.54,,4,24,28,4,5
2.6,2.5,99.0,,0.0,1.2,99.45,,6,25,31,3,3
2.6,2.5,99.0,7.0,9.0,9.7,99.33,,6,26,32,2,3
2.6,2.5,99.0,29.0,5.0,4.0,99.33,,10,27,37,1,3
2.7,2.6,99.0,7.0,5.0,6.4,99.19,,14,28,43,1,3
2.6,2.5,99.0,,4.0,6.4,99.17,,16,27,43,2,3
3.0,2.9,99.0,19.0,4.0,6.4,99.08,,41,31,72,1,4
2.7,2.4,98.0,27.0,11.0,4.0,99.17,,36,28,64,2,6
2.9,2.5,97.0,22.0,17.0,6.4,99.05,,18,23,41,3,6
4.7,4.1,96.0,24.0,43.0,16.1,99.05,,7,12,20,7,4
4.5,1.9,83.0,26.0,41.0,16.1,99.17,,3,9,11,13,4
3.8,1.4,84.0,24.0,32.0,16.1,99.29,,2,9,11,14,3
3.5,0.7,82.0,25.0,30.0,16.1,99.42,,2,10,12,15,4
3.0,-0.5,78.0,25.0,32.0,16.1,99.6,,1,10,11,20,5
2.1,-1.9,75.0,27.0,32.0,16.1,99.72,,0,9,9,21,6
0.1,-1.2,91.0,28.0,28.0,2.4,99.91,,0,11,11,18,6
0.1,-1.4,90.0,27.0,17.0,16.1,100.0,,0,13,13,16,7
0.4,-2.3,82.0,27.0,24.0,16.1,100.05,,0,7,7,23,5
-1.6,-5.8,73.0,30.0,30.0,16.1,100.19,-9.0,0,5,6,26,4
-3.1,-8.0,69.0,28.0,41.0,16.1,100.31,-12.0,0,5,5,27,4
-4.0,-8.4,72.0,26.0,37.0,16.1,100.46,-12.0,0,6,6,28,4
-4.7,-10.1,66.0,28.0,41.0,16.1,100.59,-14.0,0,5,5,32,5
-5.2,-11.0,64.0,27.0,43.0,16.1,100.74,-15.0,0,5,5,33,5
-5.4,-11.7,61.0,28.0,39.0,16.1,100.9,-15.0,0,5,5,33,4
-6.4,-9.9,76.0,27.0,46.0,9.7,100.97,-17.0,0,6,6,32,5
-7.2,-11.2,73.0,27.0,43.0,11.3,101.11,-17.0,1,7,7,31,5
-8.4,-10.8,83.0,26.0,41.0,2.4,101.23,-19.0,1,7,8,30,5
-9.4,-14.2,68.0,27.0,43.0,16.1,101.36,-20.0,1,10,11,29,5
-10.1,-15.9,63.0,27.0,46.0,16.1,101.49,-22.0,2,10,12,28,4
-10.0,-15.0,67.0,27.0,39.0,16.1,101.6,-21.0,3,9,12,29,5
-9.9,-15.3,65.0,27.0,39.0,16.1,101.68,-21.0,4,8,12,29,5
-9.5,-15.2,64.0,27.0,45.0,16.1,101.72,-21.0,5,8,13,29,5
-9.5,-14.1,70.0,25.0,52.0,12.9,101.75,-21.0,3,8,11,29,4
-9.1,-16.1,57.0,27.0,45.0,16.1,101.72,-20.0,2,5,7,32,4
-9.3,-15.3,62.0,26.0,50.0,16.1,101.77,-21.0,2,7,10,30,4
-9.7,-16.3,59.0,27.0,39.0,16.1,101.86,-20.0,1,7,8,31,4
-10.2,-16.3,62.0,26.0,45.0,16.1,101.93,-22.0,1,8,8,31,5
-10.9,-16.9,62.0,26.0,39.0,16.1,102.03,-22.0,0,9,10,30,6
-11.2,-16.9,63.0,26.0,39.0,16.1,102.12,-22.0,1,12,13,28,6
-11.6,-15.9,71.0,25.0,28.0,16.1,102.12,-21.0,2,14,16,25,6
-11.7,-15.7,73.0,25.0,32.0,16.1,102.07,-22.0,1,13,13,26,7
-11.7,-15.5,74.0,24.0,32.0,16.1,102.04,-22.0,3,18,20,22,6
-11.7,-15.6,73.0,25.0,32.0,16.1,101.99,-22.0,1,15,16,23,7
-11.7,-15.0,77.0,25.0,22.0,16.1,101.95,-20.0,1,17,18,21,7
-11.5,-15.0,75.0,25.0,26.0,16.1,101.95,-21.0,2,20,23,18,7
-11.6,-15.6,73.0,26.0,17.0,16.1,101.86,-19.0,1,18,19,19,7
-11.3,-15.5,71.0,24.0,22.0,16.1,101.87,-20.0,3,18,21,19,7
-11.4,-15.5,72.0,26.0,22.0,16.1,101.83,-20.0,1,16,17,21,8
-11.0,-15.0,73.0,26.0,24.0,16.1,101.73,-20.0,1,15,16,21,8
-10.8,-15.1,71.0,28.0,18.0,16.1,101.61,-18.0,0,14,14,22,8
-10.7,-15.1,70.0,27.0,18.0,16.1,101.53,-18.0,0,18,18,19,8
-10.5,-15.1,69.0,29.0,13.0,16.1,101.45,-17.0,3,25,28,13,8
-10.0,-14.7,69.0,27.0,24.0,16.1,101.45,-19.0,4,24,29,13,8
-9.9,-13.2,77.0,24.0,21.0,16.1,101.42,-18.0,7,23,29,15,8
-9.8,-13.1,77.0,26.0,21.0,8.1,101.36,-18.0,8,18,26,19,7
-8.3,-12.7,71.0,25.0,17.0,16.1,101.26,-15.0,7,15,22,22,7
-7.5,-13.4,63.0,24.0,24.0,16.1,101.13,-15.0,5,14,19,23,7
-7.7,-12.6,68.0,24.0,28.0,16.1,100.99,-16.0,5,14,20,22,7
-7.9,-13.4,65.0,26.0,24.0,16.1,100.94,-16.0,3,13,16,22,8
-8.0,-14.4,60.0,27.0,34.0,16.1,100.95,-17.0,4,15,19,21,8
-7.7,-14.4,59.0,24.0,26.0,16.1,100.87,-16.0,2,14,16,23,8
-7.8,-14.3,60.0,24.0,32.0,16.1,100.78,-17.0,2,16,18,21,9
-8.3,-13.5,66.0,25.0,37.0,16.1,100.73,-18.0,5,18,22,19,9
-8.6,-13.5,68.0,25.0,39.0,16.1,100.76,-19.0,2,15,17,21,10
-8.1,-12.7,70.0,23.0,39.0,16.1,100.61,-18.0,4,18,22,18,10
-8.0,-12.0,73.0,24.0,43.0,14.5,100.52,-18.0,2,15,17,21,10
-7.9,-11.1,78.0,24.0,37.0,16.1,100.42,-18.0,1,15,16,20,10
-8.0,-11.2,78.0,25.0,35.0,16.1,100.32,-18.0,2,17,19,20,9
-8.0,-12.6,70.0,25.0,32.0,16.1,100.24,-17.0,2,12,14,29,6
-8.2,-11.7,76.0,25.0,39.0,16.1,100.18,-18.0,4,16,19,25,6
-8.3,-12.4,72.0,25.0,41.0,16.1,100.16,-19.0,2,12,14,27,5
-8.3,-11.6,77.0,25.0,41.0,16.1,100.22,-19.0,1,10,11,28,5
-9.2,-11.1,86.0,31.0,28.0,1.2,100.33,-18.0,0,9,10,27,4
-10.0,-23.1,34.0,32.0,24.0,16.1,100.39,-19.0,0,8,9,30,4
-11.5,-19.5,52.0,34.0,28.0,16.1,100.53,-21.0,1,10,11,26,5
-13.2,-19.1,62.0,33.0,34.0,16.1,100.7,-24.0,1,14,15,22,5
-15.3,-21.8,58.0,32.0,34.0,16.1,100.91,-27.0,2,14,16,22,5
-16.0,-25.2,46.0,35.0,30.0,16.1,101.09,-27.0,3,11,14,24,6
-15.9,-24.1,50.0,33.0,22.0,16.1,101.23,-26.0,4,9,14,25,6
-15.6,-23.2,53.0,33.0,28.0,16.1,101.37,-26.0,5,9,14,25,5
-15.5,-22.5,56.0,32.0,28.0,16.1,101.43,-26.0,4,8,12,26,5
-14.7,-22.7,51.0,32.0,28.0,16.1,101.47,-25.0,4,9,12,26,5
-15.0,-22.3,54.0,31.0,32.0,16.1,101.55,-26.0,3,9,11,26,5
-15.3,-20.4,65.0,33.0,18.0,6.4,101.67,-24.0,2,11,14,23,5
-15.8,-20.7,66.0,33.0,15.0,16.1,101.78,-24.0,2,15,17,19,5
-16.7,-21.1,69.0,35.0,15.0,16.1,101.86,-25.0,1,20,21,15,6
-16.7,-21.4,67.0,32.0,13.0,16.1,101.94,-24.0,2,25,27,11,7
-16.7,-22.3,62.0,29.0,11.0,16.1,101.96,-24.0,1,22,23,15,7
-16.3,-22.1,61.0,27.0,26.0,16.1,101.95,-27.0,1,19,20,19,7
-16.4,-21.2,67.0,28.0,30.0,16.1,101.99,-28.0,1,18,19,20,6
-15.4,-19.7,70.0,27.0,28.0,16.1,101.97,-26.0,2,19,21,19,6
-14.8,-18.5,74.0,26.0,26.0,16.1,101.9,-25.0,2,22,23,17,6
-14.3,-17.8,75.0,26.0,24.0,12.9,101.8,-24.0,2,23,25,16,5
-12.8,-14.5,87.0,24.0,22.0,16.1,101.72,-22.0,4,21,24,16,5
-13.2,-15.0,87.0,26.0,34.0,16.1,101.68,-24.0,6,20,26,17,5
-11.8,-14.3,82.0,24.0,48.0,16.1,101.66,-24.0,5,16,21,21,4
-11.6,-14.6,79.0,25.0,43.0,16.1,101.56,-23.0,7,19,26,20,4
-12.1,-15.1,79.0,25.0,41.0,16.1,101.57,-24.0,6,17,24,21,4
-12.1,-15.5,76.0,25.0,39.0,16.1,101.61,-23.0,5,16,21,21,4
-12.2,-15.7,76.0,24.0,46.0,16.1,101.57,-24.0,5,18,23,19,4
-11.2,-13.7,82.0,24.0,45.0,16.1,101.61,-23.0,3,13,16,24,4
-11.3,-14.5,77.0,24.0,41.0,16.1,101.55,-23.0,6,15,21,22,5
-10.5,-13.3,80.0,24.0,39.0,16.1,101.49,-21.0,7,16,23,21,5
-9.9,-13.7,74.0,24.0,48.0,16.1,101.4,-21.0,7,16,23,22,5
-9.9,-13.9,73.0,24.0,43.0,16.1,101.26,-21.0,7,14,21,23,6
-9.5,-14.2,69.0,24.0,41.0,16.1,101.12,-20.0,8,15,24,23,6
-8.5,-14.8,61.0,26.0,39.0,16.1,101.02,-19.0,7,15,22,24,7
-8.4,-15.0,59.0,25.0,39.0,16.1,100.95,-19.0,3,13,16,27,6
-7.7,-13.3,65.0,24.0,45.0,16.1,100.86,-18.0,3,13,16,26,5
-8.5,-13.5,67.0,23.0,55.0,16.1,100.81,-20.0,2,13,15,27,5
-8.2,-12.6,71.0,23.0,52.0,16.1,100.72,-19.0,0,10,10,30,6
-7.4,-12.4,68.0,22.0,52.0,16.1,100.59,-18.0,0,10,10,30,6
-7.5,-12.5,68.0,22.0,48.0,16.1,100.43,-18.0,0,9,9,30,6
-7.7,-11.0,77.0,21.0,52.0,4.8,100.27,-19.0,0,8,9,30,6
-7.2,-11.1,74.0,21.0,52.0,16.1,100.14,-18.0,0,8,8,29,6
-7.2,-10.1,80.0,21.0,61.0,2.8,99.95,-19.0,0,8,9,27,5
-6.9,-8.7,87.0,23.0,52.0,1.6,99.77,-18.0,1,11,12,25,6
-7.6,-10.7,79.0,24.0,45.0,6.4,99.7,-18.0,4,17,21,19,8
-7.9,-11.1,78.0,25.0,37.0,11.3,99.64,-18.0,3,16,20,18,8
-8.0,-10.7,81.0,24.0,37.0,16.1,99.64,-18.0,4,17,22,17,8
-7.5,-11.2,75.0,25.0,41.0,16.1,99.62,-18.0,4,16,20,17,8
-7.3,-11.5,72.0,25.0,43.0,16.1,99.6,-17.0,5,17,22,16,8
-7.2,-11.4,72.0,26.0,41.0,16.1,99.66,-17.0,6,18,24,15,8
-7.5,-10.1,82.0,26.0,45.0,2.4,99.75,-18.0,3,16,18,18,8
-8.6,-13.3,69.0,26.0,35.0,16.1,99.92,-18.0,6,20,26,16,7
-8.3,-12.1,74.0,25.0,39.0,16.1,100.05,-18.0,8,18,27,18,8
-7.2,-11.3,73.0,24.0,43.0,16.1,100.17,-17.0,11,17,28,20,8
-5.7,-10.4,69.0,25.0,37.0,16.1,100.21,-15.0,3,8,11,30,5
-5.0,-11.0,63.0,26.0,54.0,16.1,100.23,-15.0,3,10,13,29,5
-6.2,-9.0,81.0,30.0,39.0,8.1,100.3,-16.0,2,10,12,30,5
-7.0,-9.7,81.0,30.0,28.0,4.8,100.39,-15.0,2,12,14,28,5
-5.9,-13.0,57.0,27.0,45.0,16.1,100.5,-16.0,2,9,11,30,5
-6.8,-13.2,61.0,25.0,48.0,16.1,100.62,-17.0,3,12,14,28,5
-7.8,-13.1,66.0,25.0,48.0,16.1,100.72,-19.0,1,11,12,28,6
-8.3,-14.5,61.0,26.0,41.0,16.1,100.82,-19.0,2,13,15,26,6
-9.0,-13.3,72.0,25.0,37.0,16.1,100.93,-19.0,2,14,16,25,7
-9.2,-14.5,66.0,25.0,41.0,16.1,100.98,-20.0,2,13,16,26,6
-9.5,-13.6,72.0,25.0,35.0,16.1,101.07,-20.0,3,14,17,25,7
-10.0,-14.9,68.0,25.0,45.0,16.1,101.14,-21.0,1,10,11,28,6
-10.8,-14.7,73.0,25.0,43.0,16.1,101.19,-22.0,0,9,9,29,6
-11.2,-15.0,74.0,26.0,39.0,16.1,101.24,-22.0,0,9,9,29,6
-11.8,-16.0,71.0,26.0,39.0,16.1,101.29,-23.0,0,8,8,29,7
-12.3,-16.2,73.0,26.0,41.0,16.1,101.37,-24.0,3,15,17,23,7
-12.4,-15.8,76.0,26.0,41.0,16.1,101.46,-24.0,5,16,21,22,7
-12.1,-15.2,78.0,24.0,48.0,16.1,101.53,-24.0,1,9,10,28,7
-12.8,-16.0,77.0,23.0,46.0,16.1,101.58,-25.0,1,11,12,26,7
-13.1,-16.1,79.0,24.0,37.0,16.1,101.65,-25.0,1,14,15,23,7
-13.2,-16.2,79.0,24.0,45.0,16.1,101.71,-26.0,2,14,16,20,8
-13.1,-15.8,80.0,24.0,45.0,16.1,101.79,-25.0,2,13,15,21,8
-12.9,-16.2,77.0,24.0,45.0,16.1,101.92,-25.0,3,11,14,23,8
-12.2,-16.5,71.0,24.0,34.0,16.1,101.99,-23.0,5,11,15,24,8
-10.9,-15.8,67.0,26.0,34.0,16.1,101.98,-21.0,7,12,19,25,7
-9.9,-15.6,64.0,25.0,48.0,16.1,101.92,-21.0,5,9,14,29,6
-9.1,-15.1,62.0,24.0,54.0,16.1,101.81,-21.0,5,9,14,30,6
-8.6,-14.4,63.0,25.0,45.0,16.1,101.77,-19.0,5,10,15,29,6
-8.6,-15.2,59.0,25.0,43.0,16.1,101.77,-19.0,2,9,12,30,6
-8.9,-14.9,62.0,25.0,34.0,16.1,101.76,-19.0,2,12,15,28,5
-8.7,-14.1,65.0,24.0,43.0,16.1,101.79,-19.0,3,13,16,25,5
-9.2,-13.2,73.0,25.0,39.0,16.1,101.91,-20.0,4,16,20,23,7
-9.9,-15.2,66.0,24.0,45.0,16.1,101.94,-21.0,4,17,21,22,7
-10.0,-15.0,67.0,25.0,39.0,16.1,101.97,-21.0,3,18,21,21,8
-10.4,-15.6,66.0,26.0,30.0,16.1,102.03,-20.0,4,20,24,19,9
-10.4,-15.6,66.0,26.0,34.0,16.1,102.04,-21.0,3,18,21,20,9
-10.4,-16.0,64.0,26.0,24.0,16.1,102.1,-19.0,1,15,16,23,9
-9.8,-14.6,68.0,27.0,22.0,16.1,102.05,-18.0,3,21,24,18,10
-8.6,-12.9,71.0,26.0,21.0,16.1,102.03,-16.0,3,18,21,20,12
-7.6,-11.8,72.0,24.0,30.0,16.1,102.06,-16.0,4,18,22,21,10
-6.9,-12.4,65.0,25.0,30.0,16.1,102.04,-15.0,3,18,22,21,10
-6.5,-11.7,67.0,26.0,28.0,16.1,102.02,-15.0,2,17,19,22,9
-6.2,-10.2,73.0,26.0,24.0,16.1,101.96,-14.0,1,17,18,20,10
-5.9,-9.4,77.0,26.0,18.0,16.1,101.93,-12.0,1,24,25,14,10
-3.7,-8.3,71.0,22.0,34.0,16.1,101.9,-12.0,0,13,13,22,9
-3.0,-8.6,66.0,22.0,35.0,16.1,101.9,-11.0,1,12,13,22,9
-2.7,-9.1,62.0,23.0,39.0,16.1,101.91,-11.0,2,18,20,18,11
-2.7,-9.2,61.0,24.0,37.0,16.1,101.95,-11.0,3,14,17,21,10
-2.1,-8.7,61.0,23.0,34.0,16.1,101.93,-10.0,4,15,19,20,11
-1.6,-8.1,61.0,24.0,26.0,16.1,101.81,-8.0,4,14,18,21,12
-0.6,-7.6,59.0,22.0,24.0,16.1,101.72,-7.0,3,11,14,25,10
0.5,-7.6,55.0,22.0,24.0,16.1,101.72,,2,11,12,26,10
-0.3,-6.5,63.0,20.0,26.0,16.1,101.7,-6.0,1,13,14,25,10
-0.3,-6.0,66.0,21.0,30.0,16.1,101.72,-7.0,0,13,13,24,9
-0.5,-6.5,64.0,21.0,34.0,16.1,101.77,-8.0,0,14,14,22,9
-0.4,-6.4,64.0,21.0,34.0,16.1,101.79,-7.0,0,14,14,22,9
-0.4,-6.4,64.0,22.0,32.0,16.1,101.73,-7.0,0,14,14,22,10
0.1,-6.8,60.0,23.0,35.0,16.1,101.7,,1,21,22,15,12
0.2,-6.7,60.0,23.0,28.0,16.1,101.68,,1,28,28,9,12
0.3,-6.5,61.0,24.0,24.0,16.1,101.62,,0,20,20,16,10
0.5,-6.6,59.0,24.0,24.0,16.1,101.6,,1,18,19,18,10
-0.2,-4.3,74.0,24.0,34.0,14.5,101.57,-7.0,2,17,19,19,11
-1.3,-2.4,92.0,25.0,21.0,4.0,101.55,-7.0,0,15,15,21,12
-0.9,-3.0,86.0,24.0,24.0,16.1,101.48,-7.0,1,15,15,19,13
-0.8,-2.9,86.0,25.0,22.0,12.9,101.47,-7.0,0,17,18,15,14
-1.1,-2.8,88.0,24.0,21.0,16.1,101.4,-7.0,1,17,18,14,15
-1.2,-2.9,88.0,25.0,21.0,16.1,101.38,-7.0,3,22,25,9,16
-1.4,-2.5,92.0,25.0,21.0,2.8,101.39,-7.0,5,27,32,4,18
-1.6,-2.6,93.0,25.0,17.0,2.8,101.34,-7.0,5,28,34,3,19
-1.4,-2.7,91.0,25.0,17.0,11.3,101.37,-7.0,11,30,41,2,20
-1.4,-2.4,93.0,25.0,15.0,1.6,101.43,-6.0,14,27,41,4,24
-1.3,-2.1,94.0,25.0,11.0,2.4,101.45,-5.0,18,26,44,6,27
-0.7,-2.6,87.0,25.0,11.0,8.1,101.46,-4.0,15,25,40,7,28
-0.1,-2.9,82.0,26.0,13.0,9.7,101.42,-4.0,11,26,37,7,28
0.0,-2.3,84.0,28.0,11.0,4.8,101.39,-4.0,4,20,24,16,12
-0.9,-4.4,77.0,34.0,22.0,16.1,101.43,-7.0,3,17,20,23,7
-1.8,-6.6,70.0,32.0,28.0,16.1,101.53,-9.0,2,13,15,27,6
-2.2,-8.6,62.0,33.0,22.0,16.1,101.64,-8.0,1,14,15,26,6
-3.7,-9.7,63.0,34.0,22.0,16.1,101.83,-10.0,1,15,16,24,7
-4.6,-10.6,63.0,34.0,30.0,16.1,102.02,-12.0,1,12,12,27,7
-6.0,-12.4,61.0,34.0,30.0,16.1,102.14,-14.0,1,12,13,27,6
-7.6,-12.5,68.0,32.0,28.0,16.1,102.31,-16.0,1,12,13,27,6
-8.9,-14.9,62.0,35.0,28.0,16.1,102.42,-18.0,1,13,13,27,6
-10.3,-15.8,65.0,35.0,24.0,16.1,102.53,-19.0,1,14,15,25,6
-12.2,-16.9,69.0,1.0,11.0,16.1,102.63,-18.0,2,12,13,25,6
-13.9,-19.5,63.0,2.0,21.0,16.1,102.75,-23.0,2,13,15,23,7
-15.2,-20.1,67.0,2.0,15.0,16.1,102.86,-23.0,2,12,14,23,7
-16.3,-21.8,63.0,36.0,21.0,16.1,102.93,-26.0,2,12,14,23,7
-17.2,-23.0,61.0,36.0,21.0,16.1,103.07,-27.0,2,13,14,22,7
-17.6,-23.1,63.0,36.0,9.0,16.1,103.14,-24.0,2,15,17,19,7
-18.0,-23.8,61.0,35.0,17.0,16.1,103.19,-27.0,3,15,18,19,7
-18.4,-23.8,63.0,35.0,13.0,16.1,103.29,-26.0,3,18,21,17,7
-18.4,-23.8,63.0,34.0,9.0,16.1,103.39,-25.0,5,25,30,11,7
-18.3,-24.3,60.0,3.0,11.0,16.1,103.46,-26.0,11,29,39,10,6
-17.2,-22.6,63.0,2.0,8.0,16.1,103.49,-23.0,12,25,37,13,5
-15.8,-21.3,63.0,6.0,13.0,16.1,103.48,-23.0,18,25,42,15,5
-14.9,-20.3,64.0,6.0,13.0,16.1,103.46,-22.0,15,20,35,19,5
-13.2,-18.0,68.0,4.0,11.0,16.1,103.36,-19.0,12,19,32,20,5
-11.9,-16.2,71.0,6.0,13.0,16.1,103.28,-19.0,10,19,29,21,5
-11.0,-15.6,69.0,6.0,15.0,16.1,103.2,-18.0,8,18,26,21,5
-10.8,-15.3,70.0,8.0,17.0,16.1,103.14,-18.0,5,17,23,22,6
-11.1,-14.8,75.0,5.0,17.0,16.1,103.11,-19.0,3,18,21,22,6
-11.3,-15.6,71.0,6.0,15.0,16.1,103.09,-18.0,4,23,27,19,7
-10.9,-14.8,73.0,4.0,15.0,12.9,103.05,-18.0,3,25,28,16,7
-10.7,-14.0,77.0,4.0,17.0,8.1,102.99,-18.0,5,31,36,11,8
-10.4,-13.7,77.0,5.0,9.0,16.1,102.91,-15.0,8,38,47,5,8
-9.7,-12.9,77.0,5.0,13.0,16.1,102.84,-16.0,11,40,51,3,10
-10.2,-13.3,78.0,7.0,11.0,16.1,102.77,-16.0,9,39,48,3,10
-11.0,-13.9,80.0,7.0,15.0,16.1,102.68,-18.0,10,39,49,3,9
