Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,NO,NO2,NOx,O3,PM25
2.0,-1.6,77.0,24.0,37.0,16.1,99.74,,2,14,16,20,10
2.0,-1.1,80.0,24.0,32.0,16.1,99.8,,3,17,20,19,9
1.7,-0.2,87.0,24.0,32.0,16.1,99.85,,3,16,18,20,7
2.3,-1.3,77.0,25.0,26.0,16.1,99.92,,1,9,10,24,4
2.4,-2.3,71.0,26.0,30.0,16.1,99.94,,1,7,8,23,4
1.6,-4.1,66.0,33.0,34.0,16.1,99.98,,1,5,6,24,4
0.5,-5.7,63.0,32.0,30.0,16.1,100.07,,1,5,5,25,4
-0.4,-7.4,59.0,32.0,37.0,16.1,100.17,-8.0,1,5,5,27,4
-1.4,-8.5,59.0,33.0,32.0,16.1,100.35,-9.0,1,5,5,28,4
-2.1,-8.8,60.0,32.0,30.0,16.1,100.43,-9.0,0,6,6,28,5
-3.0,-9.7,60.0,32.0,28.0,16.1,100.57,-10.0,0,8,8,28,5
-4.2,-9.1,69.0,33.0,21.0,16.1,100.7,-11.0,0,8,8,28,5
-4.8,-9.5,70.0,32.0,22.0,16.1,100.81,-12.0,0,8,8,28,5
-5.3,-9.9,70.0,34.0,17.0,16.1,100.93,-11.0,0,7,7,27,4
-6.5,-12.0,65.0,32.0,17.0,16.1,100.99,-13.0,0,8,8,26,5
-7.9,-13.7,63.0,32.0,18.0,16.1,101.05,-15.0,1,10,11,24,4
-9.0,-15.4,60.0,32.0,15.0,16.1,101.15,-16.0,1,13,14,23,5
-9.5,-14.6,67.0,3.0,13.0,16.1,101.16,-16.0,1,10,11,25,5
-9.8,-15.3,65.0,2.0,17.0,16.1,101.17,-17.0,1,10,10,25,5
-10.0,-15.0,67.0,35.0,15.0,16.1,101.2,-17.0,1,9,10,25,6
-10.8,-15.9,66.0,36.0,17.0,16.1,101.31,-18.0,1,9,10,23,5
-11.6,-16.2,69.0,2.0,17.0,16.1,101.38,-19.0,2,10,11,22,6
-12.3,-17.6,65.0,36.0,11.0,16.1,101.47,-18.0,2,10,12,21,5
-12.8,-18.8,61.0,35.0,21.0,16.1,101.58,-22.0,2,12,14,19,5
-13.2,-18.7,64.0,34.0,22.0,16.1,101.71,-22.0,4,17,22,15,6
-13.4,-18.8,64.0,36.0,22.0,16.1,101.79,-23.0,6,18,24,15,6
-13.7,-19.7,61.0,36.0,24.0,16.1,101.93,-23.0,7,15,22,18,5
-13.1,-19.7,58.0,2.0,18.0,16.1,102.07,-21.0,6,13,19,20,5
-12.4,-20.5,52.0,35.0,24.0,16.1,102.11,-22.0,7,12,19,21,4
-11.3,-20.4,48.0,36.0,15.0,16.1,102.15,-18.0,6,12,17,23,4
-10.6,-20.5,45.0,5.0,15.0,16.1,102.13,-17.0,6,13,18,22,4
-10.3,-21.0,42.0,2.0,15.0,16.1,102.2,-17.0,5,13,19,22,4
-10.4,-20.2,45.0,34.0,18.0,16.1,102.27,-18.0,5,14,18,21,4
-10.9,-19.1,51.0,35.0,21.0,16.1,102.36,-19.0,3,15,19,19,4
-11.3,-18.7,55.0,36.0,9.0,16.1,102.43,-16.0,1,13,14,20,4
-11.5,-19.1,54.0,33.0,15.0,16.1,102.51,-19.0,1,15,16,19,5
-11.8,-19.6,53.0,32.0,13.0,16.1,102.58,-18.0,1,16,16,18,5
-11.8,-19.4,54.0,33.0,11.0,16.1,102.66,-18.0,0,16,17,18,6
-11.8,-19.0,56.0,31.0,11.0,16.1,102.69,-18.0,0,18,19,16,6
-11.7,-19.0,55.0,35.0,13.0,16.1,102.77,-18.0,2,26,28,9,7
-11.8,-18.1,60.0,34.0,11.0,16.1,102.77,-18.0,4,25,28,10,6
-12.2,-17.5,65.0,31.0,13.0,16.1,102.8,-19.0,3,20,23,14,6
-12.5,-17.1,69.0,7.0,9.0,16.1,102.77,-18.0,2,24,26,11,6
-12.4,-17.3,67.0,32.0,11.0,16.1,102.8,-18.0,12,34,46,2,6
-12.8,-17.4,69.0,31.0,13.0,16.1,102.9,-20.0,19,37,56,1,7
-12.9,-17.4,69.0,31.0,9.0,16.1,102.84,-18.0,8,33,41,2,7
-12.6,-17.0,70.0,31.0,8.0,16.1,102.83,-18.0,2,27,29,8,7
-12.1,-17.2,66.0,32.0,8.0,16.1,102.83,-17.0,9,34,43,3,8
-12.2,-17.4,66.0,31.0,8.0,16.1,102.89,-17.0,23,38,61,1,10
-12.0,-16.3,71.0,30.0,11.0,16.1,102.9,-18.0,43,39,82,2,10
-10.7,-14.8,72.0,29.0,13.0,16.1,102.95,-17.0,45,36,81,3,11
-8.6,-11.2,82.0,24.0,21.0,16.1,102.96,-16.0,13,20,33,15,12
-7.2,-13.5,61.0,25.0,18.0,16.1,102.94,-14.0,11,17,28,18,9
-5.4,-10.4,68.0,24.0,21.0,16.1,102.86,-12.0,6,12,18,22,11
-3.8,-11.1,57.0,23.0,26.0,16.1,102.77,-11.0,4,11,14,26,10
-3.0,-10.7,56.0,24.0,22.0,16.1,102.69,-9.0,2,9,11,28,9
-2.2,-9.8,56.0,23.0,24.0,16.1,102.61,-9.0,2,11,12,26,9
-2.3,-8.9,61.0,24.0,18.0,16.1,102.53,-8.0,1,13,14,24,10
-2.5,-7.4,69.0,23.0,22.0,16.1,102.43,-9.0,1,17,18,19,13
-1.8,-6.0,73.0,22.0,26.0,16.1,102.37,-8.0,2,24,26,13,13
-2.1,-5.9,75.0,22.0,28.0,16.1,102.36,-9.0,2,23,24,12,11
-2.5,-6.0,77.0,23.0,32.0,16.1,102.37,-10.0,2,18,20,18,11
-2.8,-6.6,75.0,25.0,30.0,16.1,102.35,-10.0,1,16,17,20,10
-2.2,-6.2,74.0,24.0,32.0,16.1,102.3,-10.0,1,23,24,13,10
-1.6,-6.1,72.0,23.0,34.0,16.1,102.26,-9.0,1,19,19,16,11
-1.6,-5.8,73.0,24.0,30.0,16.1,102.25,-9.0,1,24,25,11,10
-1.4,-5.6,73.0,24.0,34.0,16.1,102.14,-9.0,2,22,24,12,10
-2.4,-6.4,74.0,25.0,21.0,16.1,102.16,-8.0,2,26,27,8,10
-3.2,-7.3,73.0,27.0,11.0,16.1,102.14,-7.0,1,25,26,8,11
-3.7,-7.2,77.0,29.0,11.0,16.1,102.11,-8.0,1,25,27,7,12
-3.3,-6.1,81.0,26.0,9.0,16.1,102.06,-7.0,2,28,31,4,10
-3.1,-6.8,76.0,29.0,11.0,16.1,102.09,-7.0,7,30,38,3,11
-2.7,-6.4,76.0,26.0,21.0,16.1,102.12,-9.0,9,30,39,3,13
-2.5,-6.0,77.0,25.0,17.0,16.1,102.09,-8.0,14,30,44,4,15
-1.5,-6.5,69.0,25.0,24.0,16.1,102.09,-8.0,10,23,32,10,15
-0.7,-7.6,60.0,25.0,30.0,16.1,102.08,-7.0,11,19,30,14,16
0.6,-8.2,52.0,25.0,18.0,16.1,102.06,,8,16,24,18,16
1.2,-6.8,55.0,23.0,17.0,16.1,101.96,,7,15,22,19,16
1.9,-7.5,50.0,22.0,26.0,16.1,101.85,,5,15,20,21,16
2.6,-7.4,48.0,22.0,22.0,16.1,101.79,,4,14,18,22,17
2.8,-7.2,48.0,22.0,24.0,16.1,101.73,,2,14,16,22,15
2.0,-7.4,50.0,22.0,17.0,16.1,101.72,,2,20,21,16,15
1.2,-6.0,59.0,24.0,13.0,16.1,101.7,,2,28,30,8,19
2.0,-1.2,80.0,21.0,24.0,16.1,101.7,,2,25,27,9,22
1.7,-1.2,81.0,23.0,26.0,16.1,101.7,,2,25,26,8,28
1.3,-3.2,72.0,23.0,30.0,16.1,101.74,,1,20,20,13,17
1.0,-3.3,73.0,24.0,26.0,16.1,101.72,,1,23,24,11,16
0.1,-3.3,78.0,26.0,15.0,16.1,101.73,,2,28,30,7,17
0.0,-3.4,78.0,24.0,17.0,16.1,101.74,-5.0,1,26,27,8,18
0.4,-2.9,79.0,24.0,18.0,16.1,101.71,,1,21,22,12,18
-0.4,-3.6,79.0,28.0,11.0,16.1,101.68,-4.0,2,27,29,7,19
-1.2,-4.2,80.0,28.0,8.0,16.1,101.66,-4.0,3,29,32,5,20
-0.6,-4.5,75.0,29.0,5.0,16.1,101.67,-2.0,2,28,31,4,20
-1.4,-5.0,77.0,23.0,4.0,16.1,101.63,-3.0,1,26,27,6,20
-1.9,-5.6,76.0,31.0,4.0,16.1,101.59,-3.0,6,32,38,2,21
-1.4,-3.8,84.0,29.0,5.0,16.1,101.6,-3.0,14,33,47,1,22
-1.9,-4.6,82.0,,0.0,16.1,101.61,,10,29,39,4,31
-0.9,-4.2,78.0,28.0,5.0,16.1,101.61,-3.0,15,31,46,3,34
-0.4,-3.9,77.0,26.0,8.0,16.1,101.6,-3.0,39,35,74,2,32
0.1,-3.2,79.0,27.0,5.0,16.1,101.6,,48,35,83,3,33
0.8,-2.9,76.0,25.0,8.0,16.1,101.6,,27,29,56,7,35
1.6,-3.0,71.0,24.0,5.0,16.1,101.53,,10,20,30,15,31
1.9,-1.9,76.0,22.0,5.0,16.1,101.47,,17,28,46,9,28
1.9,-1.3,80.0,18.0,5.0,16.1,101.4,,10,26,35,13,25
2.2,-1.5,76.0,15.0,5.0,16.1,101.37,,8,28,36,11,23
2.4,-1.4,76.0,8.0,4.0,16.1,101.37,,22,38,59,2,23
0.5,-1.5,86.0,7.0,9.0,14.5,101.36,,11,35,46,2,25
0.5,-1.4,87.0,6.0,13.0,16.1,101.34,,12,34,46,2,27
1.0,-0.8,88.0,7.0,9.0,12.9,101.38,,9,32,41,3,33
0.6,-1.2,88.0,6.0,11.0,14.5,101.4,,14,35,49,2,35
1.6,-0.8,84.0,8.0,11.0,14.5,101.4,,15,36,51,2,35
1.7,-0.8,84.0,8.0,9.0,14.5,101.37,,27,38,65,1,32
1.2,-0.7,87.0,8.0,9.0,11.3,101.32,,39,39,78,0,28
0.8,-1.1,87.0,6.0,15.0,12.9,101.26,,38,38,76,0,26
0.9,-0.9,88.0,8.0,11.0,12.9,101.2,,19,33,52,1,26
0.7,-0.4,92.0,7.0,11.0,8.1,101.19,,13,31,44,1,25
1.0,0.1,94.0,7.0,11.0,6.4,101.2,,21,32,52,0,24
1.5,0.3,92.0,6.0,18.0,12.9,101.09,,18,31,49,1,22
0.5,-0.2,95.0,6.0,18.0,6.4,101.09,,11,29,39,2,22
0.6,-0.2,95.0,8.0,17.0,6.4,101.07,,7,25,32,4,23
1.4,0.5,94.0,7.0,21.0,9.7,101.04,,23,29,52,1,23
1.7,1.0,95.0,6.0,22.0,8.1,101.04,,18,27,45,3,24
2.1,1.4,95.0,6.0,26.0,8.1,100.99,,11,22,33,7,22
3.5,-0.5,75.0,8.0,32.0,16.1,100.93,,10,21,31,11,15
3.2,1.7,90.0,6.0,28.0,16.1,100.9,,9,19,29,12,15
3.3,1.8,90.0,6.0,30.0,16.1,100.8,,9,19,27,13,15
3.4,1.6,88.0,6.0,34.0,16.1,100.7,,8,18,26,13,15
3.2,1.3,87.0,6.0,35.0,16.1,100.59,,6,18,24,14,9999
3.4,1.3,86.0,6.0,32.0,16.1,100.57,,5,19,25,14,9999
3.4,-0.7,75.0,8.0,24.0,16.1,100.54,,4,23,27,12,9999
3.1,-0.4,78.0,8.0,17.0,16.1,100.56,,6,30,36,5,9999
3.1,0.2,81.0,6.0,18.0,16.1,100.5,,7,31,38,4,9999
2.9,0.7,85.0,7.0,13.0,16.1,100.46,,3,24,27,10,9999
3.8,-0.4,74.0,13.0,9.0,16.1,100.47,,3,25,28,9,9999
3.1,0.4,83.0,13.0,9.0,11.3,100.44,,4,29,32,7,9999
2.8,1.8,93.0,11.0,5.0,12.9,100.4,,3,24,27,11,9999
3.1,2.6,96.0,13.0,8.0,6.4,100.35,,2,22,24,11,9999
3.3,3.0,98.0,12.0,11.0,3.6,100.32,,2,21,24,11,9999
3.5,3.4,99.0,10.0,8.0,2.0,100.28,,3,23,26,8,9999
3.5,3.5,100.0,7.0,9.0,0.8,100.23,,2,16,17,14,9999
4.6,4.6,100.0,15.0,5.0,1.2,100.23,,1,15,16,14,9999
5.0,4.9,99.0,16.0,8.0,11.3,100.18,,1,12,14,17,9999
5.2,4.5,95.0,12.0,5.0,16.1,100.13,,2,13,15,15,9999
5.1,4.4,95.0,,4.0,6.4,100.13,,1,11,12,17,9999
5.2,4.9,98.0,15.0,8.0,6.4,100.16,,0,9,10,18,9999
5.2,4.9,98.0,19.0,11.0,11.3,100.18,,0,9,9,20,9999
5.6,5.2,97.0,20.0,13.0,11.3,100.2,,1,10,11,19,9999
6.0,5.4,96.0,20.0,13.0,14.5,100.27,,2,13,16,17,9999
6.1,5.5,96.0,20.0,11.0,14.5,100.31,,2,11,12,19,9999
6.1,5.5,96.0,26.0,9.0,14.5,100.27,,1,11,12,19,9999
6.1,5.5,96.0,23.0,5.0,16.1,100.22,,1,10,11,19,9999
6.1,5.5,96.0,26.0,5.0,16.1,100.22,,1,11,12,18,9999
6.3,5.6,95.0,21.0,8.0,16.1,100.25,,1,10,11,19,9999
6.5,5.5,93.0,22.0,5.0,16.1,100.28,,1,13,13,17,9999
5.9,5.2,95.0,26.0,4.0,16.1,100.32,,0,11,11,19,9999
5.2,4.4,95.0,,4.0,16.1,100.33,,2,22,25,8,9999
4.5,4.4,99.0,,4.0,6.4,100.28,,29,35,64,1,9999
3.8,3.8,100.0,8.0,9.0,4.0,100.28,,7,30,37,2,9999
5.4,5.1,98.0,6.0,13.0,4.8,100.22,,3,21,24,8,9999
6.9,5.1,88.0,14.0,9.0,16.1,100.11,,2,17,20,10,9999
6.0,4.5,90.0,8.0,15.0,16.1,100.03,,2,17,19,11,9999
4.8,3.8,93.0,7.0,17.0,16.1,99.93,,2,15,17,14,9999
5.5,4.3,92.0,6.0,18.0,16.1,99.7,,2,14,16,16,9999
5.1,4.1,93.0,10.0,15.0,16.1,99.65,,1,10,12,20,9999
5.0,4.1,94.0,8.0,22.0,16.1,99.52,,9999,9999,9999,9999,9999
5.1,4.4,95.0,8.0,22.0,16.1,99.43,,1,9,10,21,9999
5.1,4.8,98.0,7.0,28.0,9.7,99.22,,1,10,11,21,9999
5.4,5.1,98.0,6.0,32.0,6.4,99.07,,1,11,12,21,9999
6.5,6.2,98.0,5.0,22.0,6.4,98.79,,1,12,13,20,9999
6.1,5.7,97.0,6.0,34.0,6.4,98.6,,1,8,9,22,9999
5.6,5.3,98.0,6.0,37.0,4.8,98.39,,1,9,10,23,9999
5.5,5.2,98.0,6.0,28.0,9.7,98.21,,1,11,12,21,9999
5.8,5.5,98.0,4.0,18.0,4.8,98.02,,2,14,16,19,9999
6.5,6.2,98.0,9.0,15.0,14.5,97.79,,2,14,16,18,9999
6.1,5.8,98.0,23.0,8.0,12.9,97.65,,1,11,12,19,9999
5.2,5.2,100.0,23.0,13.0,1.2,97.6,,3,13,15,15,9999
4.8,3.1,89.0,28.0,39.0,16.1,97.71,,1,6,7,17,9999
0.7,-0.5,92.0,29.0,41.0,3.2,97.96,,1,5,5,21,9999
0.3,-3.2,78.0,28.0,39.0,16.1,98.32,,0,5,5,23,9999
-0.2,-4.4,74.0,27.0,58.0,16.1,98.65,-9.0,0,5,5,27,9999
-1.0,-5.3,73.0,26.0,55.0,16.1,98.88,-10.0,0,5,5,28,9999
-1.8,-6.3,71.0,26.0,54.0,16.1,99.05,-11.0,0,5,5,29,9999
-2.9,-5.5,82.0,26.0,50.0,8.1,99.16,-12.0,0,5,5,31,9999
-4.1,-5.6,90.0,26.0,41.0,1.2,99.31,-13.0,1,7,8,30,9999
-4.3,-8.2,75.0,27.0,39.0,16.1,99.44,-13.0,0,6,6,31,9999
-4.6,-7.9,78.0,27.0,46.0,8.1,99.57,-14.0,0,5,5,32,9999
-5.0,-8.8,75.0,26.0,41.0,16.1,99.67,-14.0,0,4,4,33,9999
-5.3,-8.5,78.0,27.0,28.0,14.5,99.78,-13.0,1,7,8,31,9999
-5.7,-11.7,63.0,26.0,50.0,16.1,99.84,-16.0,0,5,5,33,9999
-6.0,-12.4,61.0,26.0,55.0,16.1,99.91,-17.0,1,7,8,31,9999
-6.3,-12.5,62.0,25.0,43.0,16.1,99.97,-16.0,2,9,11,29,9999
-6.6,-10.6,73.0,25.0,37.0,16.1,100.06,-16.0,4,14,18,23,9999
-7.1,-9.3,84.0,24.0,45.0,16.1,100.13,-17.0,3,18,21,19,5
-7.2,-10.4,78.0,24.0,43.0,16.1,100.17,-17.0,6,20,25,17,6
-7.1,-10.9,75.0,24.0,45.0,16.1,100.26,-17.0,7,16,23,21,6
-6.6,-10.7,73.0,26.0,43.0,16.1,100.36,-17.0,6,13,19,24,6
-6.1,-10.9,69.0,26.0,45.0,16.1,100.41,-16.0,4,10,14,27,7
-5.6,-10.7,67.0,25.0,41.0,16.1,100.4,-15.0,4,10,14,27,7
-5.2,-11.7,60.0,26.0,37.0,16.1,100.42,-14.0,3,9,12,28,7
-4.9,-10.6,65.0,25.0,43.0,16.1,100.43,-14.0,3,8,11,29,7
-5.4,-11.9,61.0,25.0,34.0,16.1,100.5,-14.0,2,8,10,29,7
-5.9,-13.1,57.0,26.0,41.0,16.1,100.54,-15.0,1,9,11,28,3
-6.9,-13.7,59.0,25.0,35.0,16.1,100.6,-16.0,2,15,17,23,3
-7.2,-13.3,62.0,24.0,32.0,16.1,100.67,-16.0,2,17,19,20,4
-8.0,-14.0,62.0,24.0,32.0,16.1,100.69,-17.0,1,16,17,20,5
-8.4,-14.3,63.0,25.0,28.0,16.1,100.69,-17.0,1,15,15,21,6
-8.4,-14.7,61.0,28.0,15.0,16.1,100.61,-15.0,0,18,18,19,8
-8.2,-13.8,64.0,26.0,18.0,16.1,100.57,-15.0,1,21,22,16,7
-8.0,-14.1,62.0,27.0,18.0,16.1,100.52,-15.0,2,20,22,17,5
-8.0,-13.7,64.0,25.0,13.0,16.1,100.46,-14.0,1,22,23,15,5
-8.0,-12.7,69.0,26.0,8.0,16.1,100.35,-12.0,1,22,23,15,6
-7.7,-11.7,73.0,,0.0,16.1,100.22,,2,27,29,10,7
-7.1,-8.2,92.0,6.0,13.0,1.6,100.03,-13.0,2,26,28,11,8
-4.9,-6.4,90.0,14.0,17.0,2.4,99.85,-11.0,1,16,17,20,8
-5.2,-6.4,91.0,13.0,21.0,2.4,99.68,-12.0,1,15,16,21,7
-4.2,-5.8,89.0,14.0,22.0,4.8,99.52,-11.0,2,18,20,18,7
-3.3,-4.1,94.0,14.0,24.0,1.6,99.38,-10.0,3,21,24,13,7
-2.5,-3.2,95.0,15.0,28.0,1.6,99.18,-10.0,3,18,21,15,7
-0.8,-3.1,84.0,23.0,41.0,1.2,99.12,-9.0,2,11,14,21,9
-0.8,-4.7,75.0,23.0,34.0,16.1,99.08,-8.0,3,13,17,19,10
-0.9,-4.8,75.0,22.0,35.0,9.7,99.03,-8.0,3,11,14,21,12
-0.9,-4.1,79.0,24.0,26.0,16.1,98.93,-7.0,10,17,27,16,13
-1.9,-4.7,81.0,24.0,30.0,16.1,98.89,-9.0,6,15,21,17,12
-3.5,-7.1,76.0,26.0,41.0,4.8,98.96,-12.0,2,10,12,24,11
-4.5,-8.4,74.0,26.0,39.0,8.1,99.06,-13.0,4,13,17,22,11
-4.7,-9.2,71.0,25.0,43.0,8.1,99.13,-14.0,5,16,20,20,11
-5.3,-9.1,75.0,24.0,41.0,4.0,99.21,-15.0,3,15,19,20,10
-5.9,-8.5,82.0,24.0,48.0,6.4,99.25,-16.0,3,19,21,17,10
-4.3,-9.6,67.0,28.0,32.0,16.1,99.35,-12.0,0,12,13,24,7
-4.6,-10.5,64.0,28.0,34.0,16.1,99.52,-13.0,0,10,11,26,7
-5.2,-10.6,66.0,28.0,32.0,16.1,99.67,-13.0,0,9,9,28,6
-5.5,-12.9,57.0,28.0,35.0,16.1,99.78,-14.0,0,8,8,31,5
-6.3,-11.2,68.0,29.0,32.0,16.1,99.95,-15.0,0,10,11,29,4
-6.4,-11.7,67.0,28.0,37.0,16.1,100.01,-16.0,0,9,9,31,4
-7.0,-12.4,66.0,28.0,30.0,16.1,100.06,-16.0,0,9,9,32,4
-7.4,-12.3,68.0,28.0,34.0,16.1,100.14,-17.0,0,9,9,32,3
-7.7,-11.9,72.0,26.0,34.0,16.1,100.26,-17.0,0,9,9,32,4
-8.2,-12.3,73.0,28.0,24.0,16.1,100.37,-16.0,0,14,14,27,3
-8.1,-12.4,72.0,27.0,26.0,16.1,100.46,-16.0,0,16,16,25,3
-8.3,-13.1,69.0,28.0,24.0,16.1,100.58,-16.0,0,17,17,24,3
-8.4,-14.0,64.0,28.0,24.0,16.1,100.62,-17.0,1,17,18,24,3
-8.3,-13.4,67.0,28.0,15.0,16.1,100.64,-15.0,2,23,24,19,3
-7.8,-9.6,87.0,26.0,18.0,8.1,100.69,-15.0,5,22,27,20,3
-7.6,-11.8,72.0,24.0,35.0,16.1,100.73,-17.0,5,14,19,27,3
-7.2,-11.0,74.0,25.0,30.0,16.1,100.71,-16.0,5,12,17,29,3
-6.9,-12.7,64.0,25.0,34.0,16.1,100.64,-16.0,5,13,18,28,3
-6.7,-12.3,65.0,25.0,34.0,16.1,100.57,-16.0,4,12,16,28,3
-6.6,-12.0,66.0,26.0,30.0,16.1,100.49,-15.0,3,12,16,27,4
-7.0,-12.6,65.0,25.0,35.0,16.1,100.46,-16.0,2,11,13,29,5
-7.6,-12.5,68.0,24.0,22.0,16.1,100.46,-15.0,3,16,19,23,5
-7.4,-12.8,66.0,24.0,34.0,16.1,100.45,-17.0,2,14,17,24,6
-7.5,-12.0,71.0,25.0,39.0,16.1,100.42,-17.0,2,15,17,23,7
-7.2,-11.7,71.0,25.0,37.0,16.1,100.38,-17.0,3,20,23,19,10
-6.6,-11.7,67.0,25.0,34.0,16.1,100.31,-16.0,3,19,21,22,10
-6.2,-10.9,70.0,24.0,41.0,16.1,100.23,-16.0,2,17,20,25,7
-6.7,-9.8,79.0,25.0,32.0,6.4,100.15,-15.0,2,16,18,27,6
-6.4,-8.5,85.0,25.0,32.0,4.8,100.07,-15.0,1,15,16,27,5
-6.4,-8.1,88.0,25.0,34.0,3.2,100.01,-15.0,2,17,19,23,6
-6.4,-8.6,85.0,25.0,34.0,4.8,99.92,-15.0,2,16,17,24,6
-6.6,-9.9,78.0,27.0,26.0,16.1,99.86,-15.0,0,11,11,27,5
-7.0,-10.9,74.0,28.0,22.0,16.1,99.86,-14.0,0,12,12,24,6
-6.9,-10.8,74.0,28.0,21.0,16.1,99.86,-14.0,0,15,16,20,7
-6.6,-10.3,75.0,27.0,21.0,16.1,99.88,-14.0,0,16,17,18,9
-6.4,-10.0,76.0,27.0,24.0,16.1,99.92,-14.0,1,22,23,12,11
-6.1,-9.3,78.0,27.0,22.0,16.1,99.94,-13.0,3,27,30,7,13
-5.5,-8.3,81.0,26.0,30.0,16.1,100.0,-14.0,9,28,37,7,14
